,Station,cX,cY
0,1,-0.055024,0.037429
1,2,0.0,0.0
2,3,0.0,0.0
3,4,0.006363,0.007169
4,5,0.0,0.0
5,6,-0.000858,-0.001079
6,7,-0.000926,0.000597
7,8,0.001483,0.00581
8,9,0.000959,-8.8e-05
9,10,0.0,0.0
10,11,-0.000279,-2.5e-05
11,12,-0.000978,0.0004
