,Station,cX,cY
0,1,-0.030083,0.020769
1,2,0.029236,-0.022812
2,3,0.005649,-0.006103
3,4,-0.005051,-0.004037
4,5,-0.000114,0.000903
5,6,0.000509,-1e-05
6,7,-0.000835,0.00183
7,8,0.001543,0.008212
8,9,0.0,0.0
9,10,0.0,0.0
10,11,0.0,0.0
11,12,-0.001183,0.001152
