,Station,cX,cY
0,1,-0.030291,0.021761
1,2,0.029032,-0.021837
2,3,0.005328,-0.005068
3,4,-0.005387,-0.003014
4,5,0.0,0.0
5,6,0.000483,5.5e-05
6,7,-0.000838,0.001852
7,8,0.0,0.0
8,9,0.001825,0.00078
9,10,0.0,0.0
10,11,-0.000319,4.9e-05
11,12,0.0,0.0
