,Station,cX,cY
0,1,-0.030532,0.020662
1,2,0.028793,-0.022934
2,3,0.005289,-0.006257
3,4,-0.00532,-0.004177
4,5,0.0,0.0
5,6,0.000496,7e-05
6,7,-0.000836,0.001832
7,8,0.001547,0.008214
8,9,0.001824,0.000792
9,10,0.0,0.0
10,11,-0.000311,4.5e-05
11,12,-0.001184,0.001153
