,Station,cX,cY
0,1,-0.030443,0.021635
1,2,0.028877,-0.021976
2,3,0.005304,-0.005245
3,4,-0.005394,-0.003177
4,5,0.0,0.0
5,6,0.0,0.0
6,7,-0.000838,0.001848
7,8,0.0,0.0
8,9,0.001823,0.000778
9,10,-0.00016,-3.1e-05
10,11,-0.000317,5e-05
11,12,-0.001189,0.001164
