,Station,cX,cY
0,1,0.0,0.0
1,2,0.0,0.0
2,3,0.0,0.0
3,4,0.0,0.0
4,5,-0.000381,0.00024
5,6,-0.000741,-0.000529
6,7,0.000207,0.000881
7,8,0.00073,0.005272
8,9,0.000936,0.000482
9,10,-0.000197,2.4e-05
10,11,8.4e-05,7.5e-05
11,12,-8.9e-05,0.000439
