,Station,cX,cY
0,1,0.0,0.0
1,2,0.049785,-0.036872
2,3,0.005655,-0.014386
3,4,-0.014847,-0.015437
4,5,-0.000718,0.000431
5,6,-0.001463,-0.000958
6,7,-0.001027,0.00131
7,8,0.001221,0.006502
8,9,0.00068,3.6e-05
9,10,-0.000646,-7.5e-05
10,11,-0.000691,6e-05
11,12,0.0,0.0
