,Station,cX,cY
0,1,-0.030105,0.023434
1,2,0.029525,-0.020937
2,3,0.010176,-0.00552
3,4,0.0,0.0
4,5,0.0,0.0
5,6,1.6e-05,-0.000442
6,7,3.5e-05,0.001032
7,8,0.001101,0.005136
8,9,0.00134,0.000429
9,10,-0.000137,-0.000116
10,11,-3.4e-05,1e-06
11,12,0.0,0.0
